* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     May 13 2018 07:23:38

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, LED_ACQ, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
3, PIO, button_mode, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, LED_MODE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
8, PIO, not used, , , , , , leftBank
9, PIO, LED3, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
10, PIO, not used, , , , , , leftBank
11, PIO, pon, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
12, PIO, poff, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, not used, , , , , , leftBank
16, PIO, trig_ext, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
17, PIO, not used, , , , , , leftBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, clk, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
22, PIO, trig_rpi, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
23, PIO, spi_select, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
24, PIO, top_tour1, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
25, PIO, top_tour2, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
26, PIO, not used, , , , , , leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, spi_sclk_rpi, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
29, PIO, spi_miso_rpi, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, spi_mosi_rpi, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
32, PIO, not used, , , , , , leftBank
33, PIO, not used, , , , , , leftBank
34, PIO, not used, , , , , , leftBank
37, PIO, DAC_sclk, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
38, PIO, DAC_cs, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
39, PIO, DAC_mosi, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, not used, , , , , , bottomBank
42, PIO, not used, , , , , , bottomBank
43, PIO, not used, , , , , , bottomBank
44, PIO, not used, , , , , , bottomBank
45, PIO, not used, , , , , , bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, reset_rpi, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
48, PIO, not used, , , , , , bottomBank
49, PIO_GBIN, not used, , , , , , bottomBank
52, PIO_GBIN, not used, , , , , , bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, not used, , , , , , bottomBank
56, PIO, not used, , , , , , bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, trig_ft, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
62, PIO, spi_miso_ft, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
63, PIO, spi_mosi_ft, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
64, PIO, spi_sclk_ft, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, spi_mosi_flash, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
68, SPI_SI, spi_miso_flash, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, spi_sclk_flash, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
71, SPI_SS_B, spi_cs_flash, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, spi_cs_ft, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
74, PIO, spi_cs_rpi, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
75, PIO, cs_rpi2flash, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
76, PIO, RAM_DATA[10], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, RAM_ADD[18], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
79, PIO, RAM_ADD[14], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
80, PIO, RAM_ADD[13], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
81, PIO, RAM_ADD[12], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
82, PIO, RAM_ADD[11], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
83, PIO, RAM_ADD[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
84, PIO, RAM_DATA[8], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
85, PIO, RAM_DATA[9], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, RAM_DATA[11], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
88, PIO, RAM_DATA[12], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, RAM_DATA[13], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
91, PIO, RAM_DATA[14], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, RAM_DATA[15], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
94, PIO_GBIN, RAM_nLB, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
95, PIO, RAM_nUB, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
96, PIO, RAM_nOE, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
97, PIO, RAM_ADD[15], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
98, PIO, RAM_ADD[16], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
99, PIO, RAM_ADD[17], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, RAM_nWE, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
102, PIO, RAM_ADD[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, RAM_ADD[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
105, PIO, RAM_ADD[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
106, PIO, RAM_ADD[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
107, PIO, RAM_ADD[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, RAM_DATA[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, RAM_DATA[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
113, PIO, RAM_DATA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
114, PIO, RAM_DATA[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
115, PIO, RAM_DATA[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
116, PIO, RAM_DATA[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
117, PIO, RAM_DATA[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
118, PIO, RAM_DATA[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
119, PIO, RAM_nCE, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
120, PIO, RAM_ADD[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
121, PIO, RAM_ADD[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
122, PIO, RAM_ADD[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, RAM_ADD[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
125, PIO, RAM_ADD[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, ADC_clk, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, ADC0, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
