@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":152:46:152:48|User-specified initial value defined for instance sTrigCounter[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":416:0:416:1|User-specified initial value defined for instance sTrigInternal is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance sRAM_pointer_read[18:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance sRAM_pointer_write[18:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":768:0:768:1|User-specified initial value defined for instance sDAC_mem_pointer[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance spi_data_miso[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":163:38:163:40|User-specified initial value defined for instance sEETrigInternal_prev is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEETrigInternal is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEPointerReset is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":768:0:768:1|User-specified initial value defined for instance sDAC_data[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":121:46:121:48|User-specified initial value defined for instance sRAM_ADD[18:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance sCounterRAM[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEDAC[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEADC_freq[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":768:0:768:1|User-specified initial value defined for instance sDAC_spi_start is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":154:36:154:38|User-specified initial value defined for instance button_debounce_counter[23:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":121:46:121:48|User-specified initial value defined for instance sRead_data is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance sSPI_MSB0LSB1 is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":806:0:806:1|User-specified initial value defined for instance sADC_clk is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":768:0:768:1|User-specified initial value defined for instance sCounterDAC[9:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":121:46:121:48|User-specified initial value defined for instance sADC_clk_prev is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEPonPoff[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEPon[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEESingleCont is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":806:0:806:1|User-specified initial value defined for instance sCounterADC[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEPeriod[23:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEETrigCounter[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEPoff[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEDelayACQ[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sEEACQ[15:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sPointer[1:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":236:33:236:35|User-specified initial value defined for instance sPeriod_prev is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance sAddress[7:0] is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":154:36:154:38|User-specified initial value defined for instance sbuttonModeStatus is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":932:0:932:1|User-specified initial value defined for instance sSingleCont is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":520:0:520:1|User-specified initial value defined for instance spi_mosi_ready64_prev3 is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":416:0:416:1|User-specified initial value defined for instance trig_prev is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":120:47:120:49|User-specified initial value defined for instance spi_mosi_ready_prev3 is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":124:48:124:50|User-specified initial value defined for instance spi_mosi_ready64_prev2 is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":837:0:837:1|User-specified initial value defined for instance spi_mosi_ready_prev is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":119:43:119:45|User-specified initial value defined for instance spi_mosi_ready_prev2 is being ignored. 
@W: FX1039 :"c:\users\david\desktop\luc\matty serie\matty.vhd":123:49:123:51|User-specified initial value defined for instance spi_mosi_ready64_prev is being ignored. 
